student_id,sub_sample_group,life_direction_meaning,college_work_resilience,campus_seen_supported,emotionally_steady,hopeful_future,clear_values,life_depth_moments,cheerful_spirits,college_growth,academic_wellbeing,biggest_challenge,school_time_energy,faculty_staff_support,people_to_turn_to,know_support_resources,focus_place,enough_sleep,parent_caregiver_support,enjoyable_company,feels_alone,phone_social_media_interference,physical_activity,alcohol_cannabis_social_coping,money_stress,study_hours_outside_class,life_priority,age_group,college_stage,gender,race_ethnicity,parent_four_year_college,college_goal,major_field,major_confidence,spring_credits,class_modality,paid_work_hours,wellbeing_index
S035,C,N,N,A,A,D,A,A,A,A,A,Mental stress,A,A,A,N,A,D,A,O,S,O,S,Nvr,Very,5 to 10 hours,Money,20 or 21,Third+,Woman,East Asian,Yes,Transfer,Business,Some conf.,12 to 14 credits,All/mostly in-person,1 to 9 hours,3.5
S036,B,A,A,A,D,A,N,A,A,N,A,Work,A,A,SA,D,SA,D,A,VO,R,S,VO,O,Slight,11 to 19 hours,School,26 or older,Second year,Man,White,No,Associate,Humanities,Some conf.,6 to 8 credits,All/mostly in-person,0 hours,3.62
S037,A,A,A,A,N,A,SA,A,D,A,N,Mental stress,A,N,N,A,N,SD,A,S,S,O,VO,Nvr,Mod,5 to 10 hours,School,18 or 19,First year,Man,East Asian,Yes,Transfer,Health professions,Some conf.,12 to 14 credits,All/mostly in-person,10 to 19 hours,3.75
S038,D,A,A,A,A,A,N,A,N,SA,A,Mental stress,SA,A,SA,A,SA,A,SA,O,S,VO,VO,O,Very,11 to 19 hours,Friends/relations,18 or 19,First year,Man,East Asian,Yes,Transfer,,Unsure,15 or more credits,All/mostly in-person,0 hours,3.75
S039,D,N,A,A,SA,N,N,A,N,A,N,Not prepared,A,D,A,A,N,N,SA,O,S,O,S,Nvr,Mod,5 to 10 hours,School,18 or 19,First year,Woman,Latino/Hispanic,No,Transfer,Health professions,Unsure,12 to 14 credits,All/mostly in-person,20 to 29 hours,3.62
S040,D,N,SA,A,N,A,SA,N,A,N,A,Mental stress,D,SA,SA,SA,SA,SD,A,VO,O,VO,O,S,Ext,5 to 10 hours,Money,22 to 25,Second year,Man,East Asian,Not sure,Transfer,STEM,Some conf.,9 to 11 credits,All/mostly in-person,30 or more hours,3.88
S041,A,SD,A,SA,N,A,SD,N,D,N,A,Motivation,A,SA,A,A,A,N,SA,O,R,O,O,S,Mod,under 5 hours,Money,18 or 19,First year,Woman,Latino/Hispanic,No,Transfer,Social sciences,Very conf.,15 or more credits,All/mostly in-person,20 to 29 hours,2.88
S042,A,A,N,D,N,A,N,N,A,D,N,Not prepared,A,N,N,A,A,D,A,O,S,VO,R,S,Mod,under 5 hours,Money,18 or 19,First year,Woman,Multiracial,Yes,Transfer,Business,Some conf.,15 or more credits,More in-person,20 to 29 hours,3.25
S043,A,A,N,N,A,A,D,A,A,A,A,Work,D,N,N,A,D,D,SD,O,O,S,S,S,Ext,20 or more hours,Money,20 or 21,First year,Woman,Pacific Islander,No,Transfer,Social sciences,Some conf.,15 or more credits,All/mostly online,20 to 29 hours,3.5
S044,C,A,A,A,A,SA,N,A,A,A,SA,Not prepared,SA,A,SA,A,SA,SA,A,VO,Nvr,S,R,Prefer not,Slight,under 5 hours,School,20 or 21,First year,Woman,South Asian,Yes,Transfer,Social sciences,Very conf.,6 to 8 credits,All/mostly in-person,0 hours,4.0
